Account,date,daily_pnl,mean_pnl_per_trade,pnl_std,min_pnl,max_pnl,total_volume,avg_trade_size,total_fees,num_trades,sentiment,fear_greed_value,win_rate,long_short_ratio,drawdown_proxy
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-19,62373.791703999996,97.91804035164834,514.6635503465149,0.0,10024.26205,27480723.29,43140.85288854003,5179.546923,637,Fear,32.0,0.35949764521193095,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-20,0.0,0.0,0.0,0.0,0.0,8411089.25,52569.3078125,1033.35275,160,Fear,37.0,0.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-21,39772.479641,45.76810085270426,735.3405714406287,-6123.212194,18713.88918,40012549.38,46044.36062140392,5948.44489,869,Fear,39.0,0.36363636363636365,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-22,73209.060448,175.14129293779905,976.7145531041688,0.0,18022.9584,26170409.74,62608.63574162679,3736.434319,418,Neutral,47.0,0.44258373205741625,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-23,1656.211757,7.849344819905213,19.819735041987517,-32.56364,121.079448,11516582.93,54580.961753554504,2648.813974,211,Greed,72.0,0.5592417061611374,0,86.13719999999999
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-24,35332.403093,52.577980793154765,259.5795717583853,-56.678733,3622.511061,31682571.34,47146.683541666665,6707.427787,672,Greed,63.0,0.45089285714285715,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-25,8410.75479,16.855220020040083,52.504266186109696,0.0,487.298826,24878050.18,49855.811983967935,5721.951347,499,Greed,60.0,0.5971943887775552,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-26,0.0,0.0,0.0,0.0,0.0,11004470.02,35046.08286624204,2531.027945,314,Greed,65.0,0.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-28,37973.605394,58.06361681039755,550.2021644970722,-4498.11884,6925.515597,25087715.08,38360.42061162079,5770.1741600000005,654,Neutral,54.0,0.5336391437308868,0,31201.485916
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-29,117648.295306,118.5970718810484,626.0237040508127,0.0,8633.812548,31886938.4,32144.09112903226,4727.304068,992,Greed,60.0,0.4778225806451613,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-30,0.0,0.0,0.0,0.0,0.0,11030686.27,22932.819688149688,2532.342389,481,Greed,56.0,0.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-05-01,60544.304874,184.0252427781155,699.6945795802749,0.0,9460.46376,7472659.26,22713.250030395135,1718.711472,329,Neutral,53.0,0.7173252279635258,0,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-09-20,0.0,0.0,0.0,0.0,0.0,28301.77,7075.4425,2.716968,4,Neutral,54.0,0.0,0,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-09-24,0.0,0.0,,0.0,0.0,6113.57,6113.57,0.586902,1,Neutral,54.0,0.0,0,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-09-25,0.0,0.0,0.0,0.0,0.0,2753.02,917.6733333333333,0.264289,3,Greed,59.0,0.0,0,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-09-26,0.0,0.0,0.0,0.0,0.0,33271.51,6654.302000000001,3.19406,5,Neutral,50.0,0.0,0,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-09-27,0.0,0.0,0.0,0.0,0.0,26104.72,567.4939130434783,2.506004,46,Greed,61.0,0.0,0,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-09-28,0.0,0.0,0.0,0.0,0.0,29199.21,7299.8025,2.8031200000000003,4,Greed,64.0,0.0,0,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-09-30,0.0,0.0,0.0,0.0,0.0,37388.95,389.4682291666666,3.589268,96,Greed,61.0,0.0,0,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-25,8692.0,1738.4,3251.906850691785,8.27913,7525.631385,23296.0,4659.2,2.236411,5,Greed,72.0,1.0,0,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-11-29,573.585288,573.585288,,573.585288,573.585288,573.59,573.59,0.055063,1,Greed,78.0,1.0,0,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-12,0.0,0.0,0.0,0.0,0.0,23755.55,1397.385294117647,2.280519,17,Greed,83.0,0.0,0,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-13,0.0,0.0,0.0,0.0,0.0,88556.4,2951.8799999999997,8.501389,30,Greed,76.0,0.0,0,0.0
